"Código
CUOC","Ocupación
","Descripción Completa"
26110,"
                                        Abogados
                                    ","Brindan asesoramiento jurídico y legal a sus clientes sobre una amplia variedad de temas, redactan documentos jurídicos, autentican firmas y documentos, representan a sus clientes ante órganos administrativos o tribunales y abogan casos o llevan a cabo acciones judiciales ante los tribunales de justicia o dan instrucciones a abogados para litigar ante los tribunales superiores de justicia. Se pueden desempeñar en notarías, gobierno, juzgados, fiscalías, buffet de abogados, establecimientos comerciales, financieros, industriales, entre otros."
26120,"
                                        Jueces
                                    ","Presiden los procedimientos civiles y penales en los tribunales de justicia, conocen y juzgan casos y delitos, dan instrucciones a los jurados en los juicios, administran justicia, interpretan la ley, aclaran cuestiones de derecho y pronuncian sentencias o dictámenes. Se pueden desempeñar en cortes, tribunales de justicia, juzgados, entre otros."
26191,"
                                        Profesionales en ciencias forenses
                                    ","Analizan elementos materiales probatorios aplicando conocimientos, métodos y técnicas de investigación técnico científica forense con el fin de aportar informes técnicos en los procesos de administración de justicia. Se pueden desempeñar en empresas públicas y privadas de investigación técnico científica forense, entre otros."
26199,"
                                        Profesionales en derecho no clasificados en otras ocupaciones
                                    ","Árbitro de apelaciones de reclamaciones de seguridad social. Jurista excepto abogado o juez"
26211,"
                                        Archivistas
                                    ","Investigan, recopilan, evalúan, catalogan y garantizan la custodia, preservación de archivos, información y registros que tienen un interés histórico, cultural, administrativo y artístico. Coordinan personal, estructuran proyectos y direccionan planes de gestión, administración e implementación de sistemas de gestión documental para el manejo y custodia de registros y documentos de gran valor. Se pueden desempeñar en departamentos de archivos, entidades del gobierno y el sector privado, entre otros."
26212,"
                                        Curadores de arte y patrimonio cultural
                                    ","Determinan e investigan sobre líneas temáticas y contenidos de exposiciones, piezas, muestras culturales u objetos con valor patrimonial; desarrollan guiones curatoriales y museológicos para exposiciones, identifican y gestionan préstamos, adquisiciones y licencias de uso de las mismas; supervisan el diseño y montaje de exposiciones y coordinan actividades de divulgación. Se pueden desempeñar en entidades museales, galerías de arte, instituciones gubernamentales, empresas privadas, entre otros."
26213,"
                                        Curadores y supervisores musicales
                                    ","Coordinador de artista y repertorio (A&R). Supervisor musical audiovisual"
26214,"
                                        Museólogos y museógrafos
                                    ","Catalogador de obras en galería de arte"
26215,"
                                        Restauradores y conservadores de patrimonio cultural mueble
                                    ","Conservador de galería de arte. Profesional de las ciencias aplicadas a la conservación del patrimonio cultural. Restaurador colorista audiovisual. Restaurador de arte. Restaurador de obras de arte. Restaurador de pinturas artísticas. Restaurador y conservador de archivos y/o bibliotecas"
26216,"
                                        Restauradores y conservadores del patrimonio cultural construido
                                    ","Conservador del patrimonio cultural arquitectónico. Investigador del patrimonio cultural arquitectónico. Restaurador del patrimonio cultural arquitectónico. Restaurador y conservador del patrimonio cultural arquitectónico"
26220,"
                                        Bibliotecólogos, documentalistas y afines
                                    ","Recopilan, seleccionan, organizan, catalogan y conservan obras literarias, colecciones de la biblioteca y otros repositorios de información; organizan y controlan los servicios de bibliotecas y asesoran a usuarios; generan contenidos, estructuran y participan en actividades de promoción y fomento a la lectura, así como gestionan unidades de información. Se pueden desempeñar en bibliotecas, unidades de información o departamentos especializados dentro de bibliotecas, entre otros."
26310,"
                                        Economistas
                                    ","Analista de comercio internacional. Analista de economía empresarial. Analista de política económica. Analista económico. Asesor de política económica. Asesor económico. Consultor investigador analista de política económica. Economista de agricultura"
26320,"
                                        Sociólogos, antropólogos y afines
                                    ","Investigan y describen la estructura, el origen y la evolución de las sociedades, la realidad pluriétnica y multicultural, así como la diversidad cultural y la interdependencia entre las condiciones ambientales y las actividades humanas. Así mismo, ofrecen asesoramiento sobre la aplicación práctica de los resultados de sus actividades en la formulación de las políticas económicas y sociales. Se pueden desempeñar en organizaciones de consultoría, fundaciones, universidades, museos, entidades del sector público y privado, entre otros."
26330,"
                                        Filósofos, historiadores y especialistas en ciencias políticas
                                    ","Historiador de arte"
26340,"
                                        Psicólogos
                                    ","Analista de psicología"
26351,"
                                        Profesionales del trabajo social y consejeros
                                    ","Agente de libertad condicional. Asesor de comunidades indígenas. Asesor social. Asistente comunitario. Consejero de víctimas de agresión sexual. Consejero en adicciones. Consejero en asalto sexual. Consejero en problemas de adicción. Organizador de servicios de asistencia a la mujer. Profesional de asistencia social"
26352,"
                                        Gestores de recursos y donaciones
                                    ","Asesor en fundraising y alianzas estratégicas"
26360,"
                                        Profesionales religiosos y ministros de culto
                                    ","Abad. Abadesa. Arcediano. Arcipreste. Arzobispo"
26410,"
                                        Autores y otros escritores
                                    ","Planean, investigan, crean, documentan y escriben documentos, libros, guiones de cine, televisión y gráficos, libretos, ensayos, discursos, manuales, especificaciones y otros artículos para publicaciones o presentaciones excluyendo los destinados a fines periodísticos, de revistas y otras publicaciones periódicas. Se pueden desempeñar en agencias publicitarias, firmas consultoras, editoras, entre otros."
26421,"
                                        Periodistas
                                    ","Adaptador podcast audiovisual. Alimentador de contenidos para plataformas. Analista de noticias. Comentarista de actualidad. Crítico de arte"
26422,"
                                        Editores y redactores
                                    ","Escritor de artículos. Redactor jefe adjunto o subeditor"
26431,"
                                        Traductores, intérpretes y lingüistas
                                    ","Estudiar e investigar el origen, estructura, desarrollo y las relaciones entre lenguas antiguas matrices y grupos lingüísticos modernos aplicando teorías lingüísticas a la enseñanza, traducción, comunicaciones, evolución de las palabras, formas gramaticales y lingüísticas y presentar los resultados.. Asesorar, preparar sistemas o archivos tecnológicos como por ejemplo: la clasificación de lenguas, gramáticas, diccionarios y materiales afines utilizando la investigación documental y terminológica.. Interpretar o traducir oralmente o de un lenguaje de señas o signos a otro idioma hablado o firmado y viceversa, en particular en conferencias, reuniones y ocasiones similares, y asegurar, en la medida de lo posible, que el significado correcto y el espíritu del original se transmitan.. Desempeñar funciones afines."
26432,"
                                        Traductores e intérpretes de lenguas nativas
                                    ","Interpretan y traducen de una lengua a otra en tiempo real, las acciones primordialmente se centran en expresar de forma oral el mensaje de la lengua nativa fuente, los sistemas de pensamiento como factores de identidad e integración de los grupos humanos mediante la producción de versiones habladas en la lengua, principalmente con los sectores de la justicia, salud, educación y la administración pública para la garantía de los derechos culturales y otros que se requieran. Se pueden desempeñar con comunidades étnicas, entre otros."
26433,"
                                        Intérpretes de lengua de señas
                                    ","Interpretar oralmente o de un lenguaje de señas a otro idioma hablado o firmado o viceversa, de forma fiel, clara y comprensible, cumpliendo con los respectivos principios éticos y haciendo uso de las técnicas de interpretación en particular en conferencias, reuniones y ocasiones similares, y asegurar, en la medida de lo posible, que el significado correcto y el espíritu del original se transmitan.. Planificar, ejecutar y controlar la prestación del servicio desde su rol de intérprete, de acuerdo a la información necesaria para el servicio y previo acuerdo con la persona sorda para realizar su labor.. Establecer acuerdos con la persona sorda atendiendo a su condición lingüística particular a través del sistema de comunicación utilizado por el usuario.. Contextualizar a la persona sorda describiendo el lugar, el espacio, las personas (sus emociones y reacciones) y los objetos presentes, teniendo en cuenta la información auditiva y visual no lingüística relevante en el contexto comunicativo y de acuerdo a los requerimientos del usuario.. Desempeñar funciones afines."
26434,"
                                        Guías-intérpretes
                                    ","Contextualizan, describen, interpretan, dan soporte permanente y guían en la movilidad de personas con sordoceguera, adicionalmente transmiten la información visual y comunicativa de manera personalizada y de acuerdo a las características, metodologías, sistemas de comunicación y técnicas de cada usuario, para facilitar la comunicación, el conocimiento del entorno y el desenvolvimiento en el mismo. Se pueden desempeñar en firmas de interpretación, institutos, fundaciones para personas sordociegas, privados y públicos, el gobierno y organizaciones internacionales, entre otros."
26511,"
                                        Artistas plásticos y visuales
                                    ","Desarrollan actividades de investigación, creación, elaboración, producción, conservación, circulación y exhibición de obras de arte antiguas, modernas y contemporáneas; que generan un bien de una dimensión visual, material y de contenidos simbólicos, desarrollados desde un conjunto de disciplinas orientadas a la creación artística que van desde las artes plásticas tradicionales como la pintura, la escultura y el grabado, entre otras hasta especialidades que incorporan el uso de nuevas tecnologías como el arte digital o el arte transmedia, entre otras. Se pueden desempeñar en galerías de arte, ferias de arte, espacios culturales, universidades, escuelas de bellas artes, bibliotecas, museos, entre otros."
26512,"
                                        Ilustradores artísticos
                                    ","Crean material gráfico artístico a partir de ilustraciones, como herramienta para mejorar la comunicación escrita a través de representaciones visuales para libros, publicidad, periódicos, revistas, páginas web y producciones audiovisuales. Se pueden desempeñar en escuelas de bellas artes, empresas editoriales, producción gráfica, prensa, compañías de producción de cine, vídeo y televisión, galerías y exposiciones entre otros."
26521,"
                                        Intérpretes musicales
                                    ","Acompañante musical. Acordeonista. Arpista. Artista lírico. Músico acompañante"
26522,"
                                        Directores e investigadores musicales
                                    ","Director artístico musical. Director de agrupación musical"
26523,"
                                        Autores y compositores musicales
                                    ","Crean, escriben y componen piezas musicales originales; elaboran los arreglos y adaptaciones de las piezas existentes según los requisitos del proyecto. Sus creaciones pueden ser instrumentales, vocal-instrumentales o vocales. Se pueden desempeñar en agrupaciones musicales, coros, orquestas sinfónicas, compañías de teatro, productoras de cine, televisión, radio, empresas de eventos, empresas de contenidos, en la industria de la publicidad, entre otros."
26524,"
                                        Ejecutantes musicales
                                    ","Asistente de composición. Cantante acompañante de coros de agrupaciones. Cantante ambulante. Músico ambulante"
26531,"
                                        Compositores coreográficos e intérpretes de danza
                                    ","Asesor de danza"
26532,"
                                        Bailarines y otros ejecutantes de la danza
                                    ","Arreglista de ballet. Artista de striptease. Asistente coreográfico"
26541,"
                                        Productores, directores y editores de cine, teatro y afines
                                    ","Dirigen y controlan aspectos técnicos, artísticos, y presupuestales de producciones de cine, televisión, radio, danzas, teatro y demás representaciones escénicas. Se pueden desempeñar en empresas productoras de películas, de radio y televisión, estudios de grabación de sonido, compañías de teatro y danza, entre otros."
26542,"
                                        Productores de campo para cine y televisión
                                    ","Asistente de locaciones. Asistente de producción de campo. Productor asistente audiovisual. Productor asistente de locaciones. Productor asistente de producción de campo. Productor de campo audiovisual. Productor de trafico audiovisual. Productor logístico audiovisual"
26543,"
                                        Realizadores y coordinadores de las artes escénicas, audiovisuales y afines
                                    ","Realizan y coordinan la disposición de aspectos técnicos, artísticos y logísticos que intervienen en las etapas de la producción audiovisual y de las artes escénicas. Se pueden desempeñar en compañías productoras de películas, cine, televisión, teatro, entre otros."
26550,"
                                        Actores
                                    ","Estudian, ensayan, representan o interpretan diferentes papeles y personajes usando herramientas técnicas de manejo de la voz, entrenamiento corporal, entrenamiento actoral, el uso de la imaginación y la exploración de sus emociones en la creación de personajes en espacios escénicos de las artes vivas (performance, narración oral, teatro de: sala, calle, para público infantil, comunitario, foro, títeres, etc.), montajes cinematográficos, radiales y de televisión de pequeño, mediano y gran formato. Se pueden desempeñar en compañías de cine, televisión, teatro, radio y otras compañías de producción artística, entre otros."
26560,"
                                        Locutores y presentadores de radio, televisión y otros medios de comunicación
                                    ","Anfitrión de programa de entrevistas. Anfitrión de radio. Anfitrión de televisión. Animador de centro cultural. Animador de espectáculos públicos. Animador de televisión. Anunciador locutor"
26590,"
                                        Artistas creativos e interpretativos no clasificados en otras ocupaciones
                                    ","Esta ocupación abarca artistas creativos e interpretativos no clasificados en otras ocupaciones del Subgrupo 265: Artistas creativos e interpretativos. Por ejemplo, incluye aquellos que preparan y ejecutan diferentes actos artísticos, interpretativos y escénicos relacionados con rutinas de payasos, acrobacia, malabarismo, magia, acrobacia, títeres, marionetas, adiestramiento de animales, magia, ilusionismo, mezcla de sonido, manipulación de objetos, trucos con elementos, equilibrismo, etc. Se pueden desempeñar en circos, clubes, compañías de teatro, producción publicitaria, entre otros."
31111,"
                                        Técnicos en física y química
                                    ","Asistente de producción química. Técnico analista de control de calidad química. Técnico analista químico. Técnico aseguramiento de calidad química"
31112,"
                                        Técnicos en geología
                                    ","Asistente de geología. Auxiliar geología"
31113,"
                                        Técnicos en meteorología
                                    ","Técnico de astronomía"
31114,"
                                        Técnicos en metrología
                                    ","Técnico en calibración y aseguramiento metrológico. Tecnólogo en aseguramiento metrológico"
31115,"
                                        Auxiliares de laboratorio
                                    ","Realizan funciones técnicas para ayudar en la investigación y en el desarrollo de aplicaciones industriales y prácticas médicas, realizan actividades de alistamiento, almacenamiento de ítems, productos y materiales; análisis y ensayos básicos de laboratorio; medición a los procesos de ensayo y calibración; operación y mantenimiento básico de equipos e instrumentos y preparación de soluciones e insumos necesarios para el funcionamiento de laboratorios. Llevan registros y reportan información sobre resultados de análisis y ensayos de muestras. Se pueden desempeñar en laboratorios, empresas de química, ingeniería, de fabricación y procesamiento e instituciones del gobierno, entre otros."
31121,"
                                        Técnicos en construcción y arquitectura
                                    ","Apoyan técnicamente en la ingeniería civil, ingeniería de vías y transporte, ingeniería hidráulica y arquitectura, en lo relacionado con el diseño y supervisión de construcción de proyectos edificación e infraestructura. Se pueden desempeñar en compañías de construcción, obras públicas, transporte, entidades del gobierno y privadas, entre otros."
31122,"
                                        Técnicos en topografía
                                    ","Agrimensor. Agrimensor catastral. Agrimensor de edificio. Agrimensor de minas. Agrimensor de topografía. Agrimensor de topografía aérea. Agrimensor geodésico. Agrimensor hidrográfico. Agrimensor marino. Técnico agrimensor"
31123,"
                                        Técnicos en cartografía
                                    ","Apoyan la operación de equipos, objetos e instrumentos cartográficos para la elaboración de mapas temáticos y salidas gráficas utilizando sistemas de información geográfica y software especializados. Se pueden desempeñar en compañías de cartografía, firmas consultoras, gobierno, entre otros."
31130,"
                                        Técnicos en electricidad
                                    ","Aerotécnico. Técnico analista CBM petróleo y gas. Técnico electricista aeronaves. Técnico electricista automotriz industria petrolera. Técnico electricista de aviación"
31141,"
                                        Técnicos en electrónica
                                    ","Asistente de ingeniería de hardware. Asistente informático de ingeniería hardware. Auxiliar de pruebas en electrónica. Auxiliar desarrollo de hardware. Técnico de ingeniería aeroespacial. Técnico de ingeniería de artículos electrónicos"
31142,"
                                        Técnicos en automatización e instrumentación
                                    ","Mantienen, integran, configuran, programan e instalan instrumentos y sistemas de medición, automatización y control de procesos. Se pueden desempeñar en empresas de ingeniería, servicios, consultoría, procesos industriales, industrias de manufactura en el sector público y privado, entre otros."
31150,"
                                        Técnicos en ingeniería mecánica
                                    ","Supervisor automotriz de facilidades de industria petrolera. Supervisor de patio de automotores. Técnico aeronáutico. Técnico de aire acondicionado y refrigeración. Técnico de arquitectura naval. Técnico de ingeniería aeronáutica. Técnico de ingeniería agrícola maquinaria. Técnico de ingeniería aire acondicionado. Técnico de ingeniería automotriz. Técnico mecánico aeronáutica. Técnico mecánico aeronaves. Técnico mecánico automotriz industria petrolera. Técnico mecánico automotriz pleno de motores industria petrolera. Técnico mecánico automóviles. Técnico mecánico de agricultura. Técnico mecánico de aire acondicionado. Técnico mecánico pleno automotriz de patio industria petrolera. Técnico sistemas de refrigeración y aire acondicionado. Tecnólogo en agricultura de precisión"
31160,"
                                        Técnicos en química industrial
                                    ","Técnico en química aplicada. Técnico químico de alimentos. Tecnólogo en química aplicada"
31171,"
                                        Técnicos de minas y metalurgia
                                    ","Acidificador servicios a pozos de petróleo. Técnico de acidificación de petróleo y gas. Técnico de acidificación de pozos. Tratador de acidificación de pozos"
31172,"
                                        Operarios de exploración geofísica y geológica
                                    ","Realizan servicios exploratorios en las diferentes actividades u operaciones de los métodos geofísicos, geoquímicos, eléctricos y geológicos. Se pueden desempeñar en plantas de producción de hidrocarburos, perforación de pozos de petróleo y gas, entre otros."
31181,"
                                        Delineantes y dibujantes técnicos
                                    ","Artefinalista. Delineante aeronáutico. Delineante de arquitectura. Delineante de ingeniería aeronáutica. Diagramador de arte finalista. Dibujante de arquitectura. Dibujante de artes gráficas. Dibujante de autocad. Rotulista arte gráfico. Técnico de arte gráfico. Técnico de dibujo arquitectónico. Técnico de diseño gráfico y animación. Técnico diseño y animación. Técnico en diseño y artes gráficas"
31182,"
                                        Auxiliares de producción gráfica
                                    ","Prestan apoyo en los diferentes procesos de la producción gráfica como en la calidad, acabados, revisión de impresos, reportes del almacén, bodega, despachos, inventario de insumos y archivo de planchas. Se pueden desempeñar en encuadernadoras, empresas comerciales de impresión, periódicos, revistas y otras empresas de publicaciones y establecimientos tanto del sector público como del privado con departamentos de impresión y encuadernación, entre otros."
31183,"
                                        Graficadores de imágenes computarizadas
                                    ","Crean imágenes por medio del computador utilizando programas de diseño, renderización y modelación digital. Se pueden desempeñar en empresas de diseño gráfico y publicidad, departamentos de publicidad y productoras audiovisuales, entre otros."
31191,"
                                        Técnicos en fabricación industrial
                                    ","Técnico analista de tiempos y movimientos"
31199,"
                                        Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones
                                    ","Inspector accidentes vehículos de transporte. Técnico analista de procesos. Técnico de análisis de vibración. Técnico de análisis de vibración acústica. Técnico de emisión acústica"
31211,"
                                        Supervisores de minería y canteras
                                    ","Analista de minería a cielo abierto. Capataz de minería a cielo abierto. Supervisor de acopio y despacho de minerales. Supervisor de mina a cielo abierto"
31212,"
                                        Supervisores de perforación y servicio a pozos de petróleo y gas
                                    ","Supervisan y coordinan las actividades de trabajadores de perforación, operación de equipo auxiliar y suministro de servicios a los pozos de petróleo y gas. Se pueden desempeñar en compañías de perforación y producción de petróleo y gas, entre otros."
31213,"
                                        Supervisores y analistas de producción de hidrocarburos
                                    ","Supervisan, controlan y aseguran la ejecución de las actividades de la operación, mantenimiento e integridad en superficie de los fluidos y equipos, así como la buena administración del recurso humano a su cargo. Se pueden desempeñar en plantas de hidrocarburos, entre otros."
31221,"
                                        Supervisores de procesamiento de alimentos y bebidas
                                    ","Supervisan y coordinan las actividades de trabajadores que operan máquinas de procesamiento, empaque o clasificación de alimentos y bebidas. Se pueden desempeñar en harineras, plantas procesadoras de frutas y verduras, carnes y pescados, productos lácteos, ingenios azucareros, cervecerías, plantas procesadoras de alimentos y de bebidas, entre otros."
31222,"
                                        Supervisores de fabricación de productos de plástico y caucho
                                    ","Supervisan y coordinan las actividades de los trabajadores que operan máquinas de procesamiento y fabrican, ensamblan e inspeccionan productos de plástico o caucho y otros trabajadores de industrias manufactureras. Se pueden desempeñar en compañías manufactureras de productos de plástico y caucho, entre otros."
31223,"
                                        Supervisores de procesamiento de la madera y producción de pulpa y papel
                                    ","Supervisan y coordinan las actividades de los siguientes trabajadores: técnicos de control de procesos, operadores de operadores de control de procesos en la producción de pulpa y fabricación de papel, operadores de máquinas y trabajadores relacionados con el procesamiento de la madera y producción de pulpa y papel, y obreros relacionados en el procesamiento de la madera y producción de pulpa y papel. Se pueden desempeñar en compañías productoras de pulpa y papel, aserraderos, plantas de tratamiento y contrachapado de madera y otras empresas de procesamiento de madera, entre otros."
31224,"
                                        Supervisores de ensamble de vehículos de motor
                                    ","Supervisan y coordinan las actividades de los trabajadores en los departamentos de ensamble y producción de vehículos; inspeccionan y prueban las partes, sub-ensambles y productos terminados para asegurar para garantizar la calidad y especificaciones del producto. Se pueden desempeñar en plantas ensambladoras de automóviles y otros vehículos automotores, entre otros."
31225,"
                                        Supervisores de impresión y ocupaciones relacionadas
                                    ","Supervisor de acabado de impresión. Supervisor de artes gráficas"
31226,"
                                        Supervisores de fabricación y tratamiento de productos mecánicos, metálicos y minerales
                                    ","Jefe de patio de mantenimiento automotor. Jefe de patio de mantenimiento automotriz. Jefe de taller de mecánica automotriz. Supervisor de ajustadores de máquinas herramientas. Supervisor de altos hornos. Supervisor de ensamble de aeronaves. Supervisor de mecánica y mantenimiento automotor. Supervisor de mecánicos de aire acondicionado. Supervisor de mecánicos de aviación. Supervisor de mecánicos de mantenimiento de aviones. Supervisor de mecánicos de refrigeración y aire acondicionado. Supervisor de mecánicos electricistas automotriz. Supervisor de mecánicos electricistas de industria automotriz. Supervisor de moldeo de arcilla. Supervisor de patio de mantenimiento automotor. Supervisor de patio de mantenimiento automotriz. Supervisor de taller de mecánica automotriz. Supervisor ensamble motores de vehículos automotores. Supervisor fabricación artículos de cerámica y vidrio"
31227,"
                                        Supervisores de fabricación y procesamiento de productos textiles, cuero y piel
                                    ","Supervisor acabador del cuero. Supervisor de acabado de textiles. Supervisor fabricación artículos cuero"
31228,"
                                        Supervisores de fabricación de productos eléctricos y electrónicos
                                    ","Inspector de ensamble de aparatos eléctricos. Jefe de producción de aparatos eléctricos y electrónicos. Supervisor de ensamble de aparatos eléctricos. Supervisor de mantenimiento automatización de petróleo y gas"
31229,"
                                        Supervisores de industrias manufactureras no clasificadas en otras ocupaciones
                                    ","Capataz de planta purificadora agua. Coordinador de área de fabricación. Coordinador de área de industria manufactura. Coordinador de producción de muebles y accesorios. Inspector de ensamble de aeronaves. Supervisor de acabado. Supervisor de acabado de muebles. Supervisor de ensamble de productos de madera y afines. Supervisor de fabricación de muebles y accesorios. Supervisor de línea de ensamble automatizada. Supervisor de operadores para la fabricación de muebles y accesorios de madera. Supervisor de tratamiento de agua. Supervisor técnico aguas. Supervisor técnico de operación sistemas de tratamiento de aguas residuales"
31231,"
                                        Supervisores de la construcción, maestros generales de obra, instalación y reparación
                                    ","Administrador de obra en construcción. Supervisor de acabados de cemento. Supervisor de instaladores de sistemas de aspersión. Supervisor de instaladores de sistemas de tuberías de aspersión"
31232,"
                                        Inspectores de sistemas e instalaciones de gas
                                    ","Inspeccionan y verifican el cumplimiento de la normatividad, operatividad y reglamentación de componentes de instalaciones, artefactos a gas, equipos de medición y regulación, sistemas de ventilación y evacuación, instalaciones y sistemas de almacenamiento y suministro de gases combustibles y medicinales, en la ejecución de los montajes de tanques, unidades de vaporización, unidades de aire propanado y estación de bombeo, desde la estación de almacenamiento hasta el sistema de regulación. Se pueden desempeñar en empresas distribuidoras de gas, organismos de certificación e inspección acreditados, firmas contratistas independientes, entre otros."
31310,"
                                        Operadores de plantas de generación y distribución de energía
                                    ","Manejan, operan y mantienen los tableros de control y equipos técnicos relacionados que se utilizan en los centros de control eléctrico que rigen la producción, distribución de energía eléctrica a través de redes de transmisión. El equipo operador incluye reactores, turbinas, generadores y otros equipos auxiliares empleados en las estaciones generadoras de energía eléctrica. Se pueden desempeñar en empresas de energía eléctrica, por grandes instalaciones industriales, entre otros."
31320,"
                                        Operadores de incineradores, instalaciones de tratamiento de agua y desechos
                                    ","Monitorean y operan sistemas de control computarizados y equipos relacionados que se utilizan en las instalaciones de tratamiento de residuos sólidos y líquidos para regular el tratamiento y disposición de aguas residuales y desechos sólidos, así como en las plantas de filtración de tratamiento de agua para regular su tratamiento y distribución. Se pueden desempeñar en industrias, plantas de tratamiento de aguas y desechos y entidades del gobierno, entre otros."
31330,"
                                        Controladores de instalaciones de procesamiento de productos químicos
                                    ","Operador de alambique procesos químicos (excepto petróleo y gas natural). Operador de autoclave de procesos químicos excepto petróleo y gas. Operador de compresor de aire"
31341,"
                                        Operadores de instalaciones de refinación de petróleo y gas natural
                                    ","Operan y controlan plantas químicas, petroquímicas y de procesamiento de petróleo y gas; monitorean, ajustan y mantienen las unidades y equipo de procesamiento en estas plantas. Se pueden desempeñar en compañías procesadoras de petróleo, gas natural, oleoductos, compañías petroquímicas, químicas, farmacéuticas, entre otros."
31342,"
                                        Inspectores de oleoductos y gasoductos
                                    ","Supervisan, inspeccionan y verifican las instalaciones, ajustan y mantienen las unidades y equipos de procesamiento utilizados para refinar, destilar y tratar los productos y subproductos derivados del petróleo o gas natural. Llevan registro y reportan información sobre códigos, normas y estándares relacionados con tubería para oleoductos y gasoductos. Se pueden desempeñar en oleoductos y gasoductos, entre otros."
31350,"
                                        Controladores de procesos de producción y tratamiento de metales
                                    ","Operador de convertidor de acero. Operador de convertidor de acero martin siemens. Operador de convertidor de acero procedimiento bessemer. Operador de convertidor de acero procedimiento oxígeno ld. Operador de cubas aluminio. Operador de horno de afino. Operador de horno de afino de metales no ferrosos. Operador de horno de conversión de acero. Operador de horno de refinación de acero. Operador de horno de refinación de acero de horno de arco eléctrico. Operador de horno de refinación de acero de horno de hogar abierto. Operador de olla de aluminio"
31390,"
                                        Técnicos en control de procesos no clasificados en otras ocupaciones
                                    ","Operador de atracciones mecánicas. Operador de cadena de montaje automatizada. Operador de ensamblaje automatizado. Operador de línea de montaje automatizado"
31410,"
                                        Técnicos en ciencias biológicas (excluyendo la medicina)
                                    ","Técnico de anatomía. Técnico de producción agrícola"
31421,"
                                        Técnicos agropecuarios
                                    ","Apoyan técnicamente a científicos, ingenieros, administradores o jefes de laboratorio acuícola y otros profesionales que trabajan en el campo de la agricultura, administración de recursos naturales, biología de planta y animales, biología y ciencias de la salud en la planeación, seguimiento técnico y manejo de la producción en los laboratorios encargados de la producción de semilla. Desarrolla actividades relacionadas con procesos de alimentación, toma de parámetros y muestreo de variables productivas. Se pueden desempeñar en laboratorios, fábricas de productos alimenticios, químicos y farmacéuticos, instituciones de salud, educativa y de investigación, empresas de consultoría ambiental, empresas de servicios, entre otros."
31422,"
                                        Inspectores de productos agrícola, pecuarios y de pesca
                                    ","Realizan pruebas y experimentos y proporcionan apoyo técnico, de supervisión y científico a los agrónomos, agricultores y administradores de explotaciones agrícolas. Monitorean, examinan, registran y controlan productos agropecuarios y de pesquería y orgánicos de conformidad con los requerimientos de producción y normas de postcosecha, almacenamiento y transporte. Se pueden desempeñar en dependencias del gobierno, unidades sin ánimo de lucro, empresas de procesamiento y almacenamiento de alimentos, entre otros."
31423,"
                                        Inspectores de riego agrícola
                                    ","Supervisan, controlan y vigilan la instalación de los sistemas de riego y el buen funcionamiento de los mismos teniendo en cuenta las necesidades del cultivo y el uso del suelo. Realizan pruebas y experimentos y proporcionan apoyo técnico, de supervisión y científico a los agrónomos, agricultores y administradores de explotaciones agrícolas. Se pueden desempeñar en fincas de producción agrícola y empresas de explotación agrícola como plantaciones, haciendas e invernaderos, entre otros."
31424,"
                                        Supervisores de producción agrícola
                                    ","Supervisan y coordinan las actividades de los trabajadores encargados de las diversas operaciones en cultivos intensivos y extensivos de diferentes productos agrícolas. Apoyan técnicamente a ingenieros, científicos, agrónomos y otros profesionales en el desarrollo y aplicación de investigaciones. Se pueden desempeñar en empresas de producción de flores, caña de azúcar, frutales, hortalizas, entre otros."
31425,"
                                        Supervisores de producción pecuaria
                                    ","Capataz agropecuario. Jefe cría y levante avicultura. Supervisor cría y levante avicultura. Supervisor de aprovechamiento avícola. Supervisor de aprovechamiento ganadero. Supervisor de aves de corral. Supervisor de avicultura. Supervisor de campo acuícola. Supervisor de control de calidad de proceso acuícola. Supervisor de granja avícola. Supervisor de incubación avícola. Supervisor de producción avícola. Supervisor explotación avícola"
31426,"
                                        Promotores de servicios agrícolas y relacionados
                                    ","Suministran asesoría y asistencia sobre diversos aspectos de la administración de fincas, cultivos, fertilización, cosecha, postcosecha, erosión y composición del suelo, prevención de enfermedades, nutrición, rotación de cultivos y venta de cosechas. Se pueden desempeñar en fincas, entidades del gobierno para asistir a la comunidad agropecuaria, empresas agrícolas, de forma independiente, entre otros."
31431,"
                                        Técnicos forestales y recursos naturales
                                    ","Técnico de arboricultura. Técnico manejo recursos naturales y aprovechamiento forestal"
31432,"
                                        Supervisores de explotación forestal y silvicultura
                                    ","Capataz aprovechamiento de maderera. Capataz de aserradero"
31510,"
                                        Oficiales maquinistas en navegación
                                    ","Controlan equipos y aparatos mecánicos, eléctricos y electrónicos utilizados a bordo de buques y participan en su manejo, mantenimiento y reparación; llevan a cabo funciones de apoyo relacionadas en tierra; supervisan y coordinan las actividades del personal de la sala de máquinas. Se pueden desempeñar en compañías de transporte marítimo y las fuerzas militares, entre otros."
31520,"
                                        Capitanes y oficiales de cubierta
                                    ","Capitán de altura. Oficial de puente de altura. Piloto de aerodeslizador"
31530,"
                                        Pilotos, ingenieros e instructores de vuelo
                                    ","Astronauta. Capitán de aviación. Copiloto de aeronave. Fumigador aéreo. Oficial de tripulación de aerolínea. Piloto de aerolínea. Piloto de aeronave. Piloto de avión. Piloto de prueba de aeronave. Pulverizador aéreo de cultivos"
